Input_Voltage,Output_Code,Residue,DAC_Voltage
-8.479999999999999760e-01,0.000000000000000000e+00,-7.843137254901939581e-01,-1.000000000000000000e+00
-8.459999999999999742e-01,0.000000000000000000e+00,-7.683073229291694783e-01,-1.000000000000000000e+00
-8.439999999999999725e-01,0.000000000000000000e+00,-7.523009203681449986e-01,-1.000000000000000000e+00
-8.419999999999999707e-01,0.000000000000000000e+00,-7.362945178071205188e-01,-1.000000000000000000e+00
-8.399999999999999689e-01,0.000000000000000000e+00,-7.202881152460959280e-01,-1.000000000000000000e+00
-8.379999999999999671e-01,0.000000000000000000e+00,-7.042817126850715592e-01,-1.000000000000000000e+00
-8.359999999999999654e-01,0.000000000000000000e+00,-6.882753101240479676e-01,-1.000000000000000000e+00
-8.339999999999999636e-01,0.000000000000000000e+00,-6.722689075630235989e-01,-1.000000000000000000e+00
-8.319999999999999618e-01,0.000000000000000000e+00,-6.562625050019990081e-01,-1.000000000000000000e+00
-8.299999999999999600e-01,0.000000000000000000e+00,-6.402561024409746393e-01,-1.000000000000000000e+00
-8.279999999999999583e-01,0.000000000000000000e+00,-6.242496998799500485e-01,-1.000000000000000000e+00
-8.259999999999999565e-01,0.000000000000000000e+00,-6.082432973189255687e-01,-1.000000000000000000e+00
-8.240000000000000657e-01,0.000000000000000000e+00,-5.922368947579020881e-01,-1.000000000000000000e+00
-8.220000000000000639e-01,0.000000000000000000e+00,-5.762304921968776084e-01,-1.000000000000000000e+00
-8.200000000000000622e-01,0.000000000000000000e+00,-5.602240896358531286e-01,-1.000000000000000000e+00
-8.180000000000000604e-01,0.000000000000000000e+00,-5.442176870748286488e-01,-1.000000000000000000e+00
-8.160000000000000586e-01,0.000000000000000000e+00,-5.282112845138051682e-01,-1.000000000000000000e+00
-8.140000000000000568e-01,0.000000000000000000e+00,-5.122048819527806884e-01,-1.000000000000000000e+00
-8.120000000000000551e-01,0.000000000000000000e+00,-4.961984793917561531e-01,-1.000000000000000000e+00
-8.100000000000000533e-01,0.000000000000000000e+00,-4.801920768307316734e-01,-1.000000000000000000e+00
-8.080000000000000515e-01,0.000000000000000000e+00,-4.641856742697071936e-01,-1.000000000000000000e+00
-8.060000000000000497e-01,0.000000000000000000e+00,-4.481792717086827138e-01,-1.000000000000000000e+00
-8.040000000000000480e-01,0.000000000000000000e+00,-4.321728691476582340e-01,-1.000000000000000000e+00
-8.020000000000000462e-01,0.000000000000000000e+00,-4.161664665866336987e-01,-1.000000000000000000e+00
-8.000000000000000444e-01,0.000000000000000000e+00,-4.001600640256102737e-01,-1.000000000000000000e+00
-7.980000000000000426e-01,0.000000000000000000e+00,-3.841536614645857384e-01,-1.000000000000000000e+00
-7.960000000000000409e-01,0.000000000000000000e+00,-3.681472589035612586e-01,-1.000000000000000000e+00
-7.940000000000000391e-01,0.000000000000000000e+00,-3.521408563425367788e-01,-1.000000000000000000e+00
-7.920000000000000373e-01,0.000000000000000000e+00,-3.361344537815122990e-01,-1.000000000000000000e+00
-7.900000000000000355e-01,0.000000000000000000e+00,-3.201280512204878193e-01,-1.000000000000000000e+00
-7.880000000000000338e-01,0.000000000000000000e+00,-3.041216486594633395e-01,-1.000000000000000000e+00
-7.860000000000000320e-01,0.000000000000000000e+00,-2.881152460984388042e-01,-1.000000000000000000e+00
-7.840000000000000302e-01,0.000000000000000000e+00,-2.721088435374143244e-01,-1.000000000000000000e+00
-7.820000000000000284e-01,0.000000000000000000e+00,-2.561024409763908438e-01,-1.000000000000000000e+00
-7.800000000000000266e-01,0.000000000000000000e+00,-2.400960384153663363e-01,-1.000000000000000000e+00
-7.780000000000000249e-01,0.000000000000000000e+00,-2.240896358543418565e-01,-1.000000000000000000e+00
-7.760000000000000231e-01,0.000000000000000000e+00,-2.080832332933173767e-01,-1.000000000000000000e+00
-7.740000000000000213e-01,0.000000000000000000e+00,-1.920768307322928692e-01,-1.000000000000000000e+00
-7.720000000000000195e-01,0.000000000000000000e+00,-1.760704281712683894e-01,-1.000000000000000000e+00
-7.700000000000000178e-01,0.000000000000000000e+00,-1.600640256102439096e-01,-1.000000000000000000e+00
-7.680000000000000160e-01,0.000000000000000000e+00,-1.440576230492194021e-01,-1.000000000000000000e+00
-7.660000000000000142e-01,0.000000000000000000e+00,-1.280512204881959215e-01,-1.000000000000000000e+00
-7.640000000000000124e-01,0.000000000000000000e+00,-1.120448179271714279e-01,-1.000000000000000000e+00
-7.620000000000000107e-01,0.000000000000000000e+00,-9.603841536614694807e-02,-1.000000000000000000e+00
-7.600000000000000089e-01,0.000000000000000000e+00,-8.003201280512245441e-02,-1.000000000000000000e+00
-7.580000000000000071e-01,0.000000000000000000e+00,-6.402561024409796075e-02,-1.000000000000000000e+00
-7.560000000000000053e-01,0.000000000000000000e+00,-4.801920768307347404e-02,-1.000000000000000000e+00
-7.540000000000000036e-01,0.000000000000000000e+00,-3.201280512204898038e-02,-1.000000000000000000e+00
-7.520000000000000018e-01,0.000000000000000000e+00,-1.600640256102449019e-02,-1.000000000000000000e+00
